predict_date,class_id,predict_quantity
201711,103507,153
201711,124140,440
201711,125403,331
201711,136916,62
201711,169673,86
201711,175962,336
201711,178529,230
201711,186250,85
201711,194201,815
201711,194450,256
201711,198427,169
201711,206765,2136
201711,209945,275
201711,219195,197
201711,221795,375
201711,245609,114
201711,248352,287
201711,249875,158
201711,250658,189
201711,265980,130
201711,270690,780
201711,281301,543
201711,281792,414
201711,289386,561
201711,289403,275
201711,290854,527
201711,291086,614
201711,291514,142
201711,302513,193
201711,304458,608
201711,308913,173
201711,321683,2180
201711,340175,312
201711,347384,3848
201711,348641,526
201711,349023,875
201711,350259,468
201711,354068,774
201711,356986,513
201711,359378,139
201711,360648,209
201711,376193,235
201711,378356,268
201711,378536,135
201711,379265,369
201711,379876,149
201711,384924,985
201711,392593,170
201711,395234,104
201711,401052,179
201711,409854,2170
201711,412240,90
201711,416749,289
201711,417803,131
201711,425432,2030
201711,436105,533
201711,437063,345
201711,437598,108
201711,453752,298
201711,468392,204
201711,472603,68
201711,475895,131
201711,481950,153
201711,482497,270
201711,492952,192
201711,496459,453
201711,501564,114
201711,510309,152
201711,516750,23
201711,526401,410
201711,527765,220
201711,527809,289
201711,540712,365
201711,559132,91
201711,560265,104
201711,569154,417
201711,576298,256
201711,580470,469
201711,580634,452
201711,587678,351
201711,591790,275
201711,597927,375
201711,603972,504
201711,612523,472
201711,614059,357
201711,619401,424
201711,621073,1196
201711,628041,835
201711,649213,84
201711,651347,162
201711,651782,118
201711,653436,308
201711,654134,745
201711,671482,91
201711,682651,443
201711,683364,69
201711,687270,492
201711,692703,634
201711,693436,243
201711,713651,387
201711,714150,232
201711,714152,550
201711,714860,92
201711,725137,261
201711,732758,233
201711,735971,2220
201711,736094,236
201711,739296,698
201711,741152,596
201711,743957,731
201711,745137,764
201711,750340,79
201711,760412,81
201711,786351,107
201711,789290,94
201711,810398,79
201711,815230,220
201711,819061,205
201711,842246,356
201711,851857,277
201711,854079,99
201711,854548,162
201711,861459,231
201711,871642,175
201711,872180,230
201711,883691,377
201711,890189,1708
201711,905061,287
201711,905745,167
201711,914348,811
201711,923841,627
201711,924154,1376
201711,948936,97
201711,950264,1130
201711,953842,1194
201711,961362,127
201711,961962,103
201711,963845,278
201711,973106,217
201711,978089,420
